id_umkm,nama_usaha,jenis_usaha,tenaga_kerja_perempuan,tenaga_kerja_laki_laki,aset,omset,marketplace,kapasitas_produksi,tahun_berdiri,laba,biaya_karyawan,jumlah_pelanggan,kode_jenis_usaha,daerah,margin_laba,total_tenaga_kerja,avg_belanja_pelanggan,utilisasi_produksi,roa
28828567,Ud. Alif Pamungkas,Kesehatan,1,56,5497149,3347794,Tokopedia,479,2015,-178079615,120951606,479,003,Mojokerto,-5319.31221,57,6989.131524,698913.1524,-39.09944955
28828568,Ud. Zidanar Panji,Perdagangan,5,44,7398384,39969661,Bukalapak,464,2014,-156360231.5,130886595,464,006,Madiun,-391.1972921,49,86141.51078,8614151.078,440.2485327
28828570,Ud. Damaris Satria,Jasa,89,5,9576178,20700389,Website Sendiri,986,2003,-279902023,200401608,986,002,Gresik,-1352.158276,94,20994.30933,2099430.933,116.1654577
28828571,Ud. Qasya Wiratama,Jasa,91,59,9456853,4820810,Lazada,314,2002,-763422340,512162100,314,002,Batu,-15835.97653,150,15352.89809,1535289.809,-49.02310525
28828572,Ud. Grego Wiraatmaja Nara,Jasa,76,36,9072119,19297316,Bukalapak,661,2000,-360244588,253027936,661,002,Probolinggo,-1866.811882,112,29194.12405,2919412.405,112.7101287
28828573,Ud. Mika Bagaskara,Perdagangan,37,53,8132674,4699257,Lazada,714,2003,-493821048,332346870,501,006,Mojokerto,-10508.49204,90,9379.754491,658159.2437,-42.21756583
28828574,Ud. Yora Selaras,Kesehatan,75,3,7072036,16709414,Tokopedia,460,2009,-230191942,164600904,460,003,Sidoarjo,-1377.618282,78,36324.81304,3632481.304,136.2744477
28828575,Ud. Wenny Langit,Jasa,82,82,2745878,25611802,Shopee,120,2000,-646504478,448077520,120,002,Kediri,-2524.244401,164,213431.6833,21343168.33,1424.116039
28828576,Ud. Fani Wijaya,Jasa,17,46,8136758,42552398,Website Sendiri,871,2006,-250724761,195518106,871,002,Mojokerto,-589.2141754,63,48854.64753,4885464.753,422.9650187
28828577,Ud. Karim Asmaralaya,Perdagangan,18,84,7862540,4911505,Bukalapak,736,2014,-322101056,218008374,736,006,Gresik,-6558.092805,102,6673.240489,667324.0489,-37.53284562
28828578,Ud. Jafar Gandewa,Pendidikan,27,36,9106010,43942442,Tokopedia,580,2008,-239547163,188993070,580,005,Gresik,-545.1384859,63,75762.83103,7576283.103,382.5652728
28828579,Ud. Elyas Wiraatmaja,Perdagangan,11,81,4557522,21622680,Bukalapak,593,2015,-471038148,328440552,593,006,Batu,-2178.4448,92,36463.20405,3646320.405,374.4393993
28828580,Ud. Erlangga Wiyata,Kesehatan,95,41,1961437,11702080,Website Sendiri,26,2004,-628057016,426506064,26,003,Probolinggo,-5367.054541,136,450080,45008000,496.6074873
28828581,Ud. Hasna Saputranegara,Kesehatan,51,47,606340,13250815,Shopee,143,2019,-567066230,386878030,143,003,Madiun,-4279.481904,98,92663.04196,9266304.196,2085.377016
28828583,Ud. Farhan Mulyo,Pendidikan,86,60,7888385,42399115,Website Sendiri,321,2009,-595494449,425262376,321,005,Batu,-1404.497356,146,132084.4704,13208447.04,437.4879015
28828584,Ud. Farhan Sukadarma,Perdagangan,99,61,1242635,43856444,Tokopedia,661,2016,-478192276,348032480,661,006,Batu,-1090.358069,160,66348.62935,6634862.935,3429.310216
28828585,Ud. Qisha Saprahan,Perdagangan,57,54,8835217,49273062,Bukalapak,542,2022,-490172119.5,359630121,542,006,Kediri,-994.8075066,111,90909.70849,9090970.849,457.6893244
28828586,Ud. Tasya Tunggul,Kesehatan,93,49,8613350,38233714,Website Sendiri,852,2024,-447015857,323499714,852,003,Pasuruan,-1169.166712,142,44875.25117,4487525.117,343.8890095
28828587,Ud. Yudi Kamajaya,Pendidikan,21,14,6784828,14384473,Website Sendiri,203,2018,-92772752,71438150,203,005,Probolinggo,-644.9506492,35,70859.47291,7085947.291,112.009398
28828588,Ud. Putri Wiraatmaja Rafif,Perdagangan,44,58,4791730,25611802,Website Sendiri,904,2016,-330781043,237595230,904,006,Malang,-1291.518039,102,28331.63938,2833163.938,583.2917548
28828589,Ud. Olivia Kusumasari,Pendidikan,61,62,7010703,33753747,Shopee,669,2020,-540667815,382947708,669,005,Batu,-1601.800876,123,50454.03139,5045403.139,381.460233
28828590,Ud. Dea Tunggul Ziva,Perdagangan,41,65,3938582,46254838,Website Sendiri,841,2014,-396910121,295443306,841,006,Pasuruan,-858.0942841,106,54999.80737,5499980.737,1074.403326
28828591,Ud. Iqra Panji,Pendidikan,66,41,4765067,35105093,Tokopedia,633,2002,-505852934.5,360638685,633,005,Malang,-1440.967368,107,55458.28278,5545828.278,636.7177209
28828592,Ud. Tono Surapati,Kesehatan,8,30,5623602,35927094,Website Sendiri,285,2009,-178785693,143141858,285,003,Probolinggo,-497.6347182,38,126059.9789,12605997.89,538.862672
28828593,Ud. Qisha Kusumah,Perdagangan,63,5,5902996,42314822,Shopee,104,2013,-195046216,158240692,104,006,Surabaya,-460.940651,68,406873.2885,40687328.85,616.8363658
28828594,Ud. Tari Jayeng,Pendidikan,14,18,6031918,20499344,Shopee,173,2016,-163128160,122418336,173,005,Sidoarjo,-795.7725867,32,118493.3179,11849331.79,239.847856
28828596,Ud. Clarissa Cahaya,Kesehatan,25,78,1501660,15602357,Tokopedia,545,2005,-486154469.5,334504551,545,003,Pasuruan,-3115.904023,103,28628.17798,2862817.798,939.0072986
28828597,Ud. Nisa Hastinapura,Pendidikan,93,32,3956511,23171998,Lazada,991,2012,-500279814.5,348967875,991,005,Blitar,-2158.984368,125,23382.43996,2338243.996,485.6674732
28828598,Ud. Chiko Suryaatmaja,Perdagangan,68,89,2523098,3962038,Tokopedia,914,2006,-491378064.5,330226735,914,006,Surabaya,-12402.15426,157,4334.833698,433483.3698,57.03068212
28828599,Ud. Damar Panji,Kesehatan,94,52,3862258,2895777,Lazada,195,2008,-716381691,479518312,195,003,Gresik,-24738.8418,146,14850.13846,1485013.846,-25.02372964
28828600,Ud. Qayla Sukarela,Kesehatan,21,29,5211246.5,36832017,Tokopedia,58,2015,-207874383,163137600,58,003,Gresik,-564.3850105,50,635034.7759,63503477.59,584.0640238
28828601,Ud. Kinan Buana,Perdagangan,53,74,8687490,22517544,Website Sendiri,218,2004,-393682855.5,277466933,218,006,Sidoarjo,-1748.338342,127,103291.4862,10329148.62,159.1950494
28828603,Ud. Lidya Pamungkas,Jasa,78,13,8284243,24895018,Tokopedia,190,2000,-438662394.5,309038275,190,002,Kediri,-1762.048915,91,131026.4105,13102641.05,200.5104751
28828604,Ud. Farid Agastya,Pendidikan,52,9,1435120,3900557,Bukalapak,788,2008,-313648820.5,211699585,788,005,Mojokerto,-8041.129011,61,4949.945431,494994.5431,171.7930905
28828605,Ud. Yumna Sentosa,Perdagangan,98,16,3298391,6939332,Shopee,399,2024,-504254224,340795704,399,006,Madiun,-7266.610446,114,17391.80952,1739180.952,110.3853667
28828606,Ud. Yusuf Suryaputra,Fashion,18,74,6119793,19493654,Tokopedia,964,2017,-436923544,304278132,964,001,Blitar,-2241.362979,92,20221.63278,2022163.278,218.5345321
28828607,Ud. Krisna Trisula,Fashion,33,14,8313438,20043328,Tokopedia,956,2017,-155236028,116852904,956,001,Kediri,-774.5022583,47,20965.82427,2096582.427,141.0955371
