id_umkm,nama_usaha,jenis_usaha,tenaga_kerja_perempuan,tenaga_kerja_laki_laki,aset,omset,marketplace,kapasitas_produksi,status_legalitas,tahun_berdiri,laba,biaya_karyawan,jumlah_pelanggan
28828567,UD. Alif Pamungkas,Kesehatan,1,56,5497149,3347794,Tokopedia,479,Belum Terdaftar,2015,-2149355,171000000,479
28828568,UD. Zidanar Panji,Perdagangan,5,44,7398384,39969661,Bukalapak,464,Terdaftar,2014,32571277,147000000,464
28828569,UD. Winda Jayengprana,unknown,74,51,8881762,25253355,Website Sendiri,383,Belum Terdaftar,2000,16371593,375000000,383
28828570,UD. Damaris Satria,Jasa,89,5,9576178,20700389,Website Sendiri,986,Belum Terdaftar,2003,11124211,282000000,986
28828571,UD. Qasya Wiratama,Jasa,91,59,9456853,4820810,Lazada,314,Belum Terdaftar,2002,-4636043,450000000,314
28828572,UD. Grego Wiraatmaja Nara,Jasa,76,36,9072119,19297316,Bukalapak,661,Belum Terdaftar,2000,10225197,336000000,661
28828573,UD. Mika Bagaskara,Perdagangan,37,53,8132674,4699257,Lazada,714,Terdaftar,2003,-3433417,270000000,unknown
28828574,UD. Yora Selaras,Kesehatan,75,3,7072036,16709414,Tokopedia,460,Belum Terdaftar,2009,9637378,234000000,460
28828575,UD. Wenny Langit,Jasa,82,82,2745878,,Shopee,120,Belum Terdaftar,2000,39104489,492000000,120
28828576,UD. Fani Wijaya,Jasa,17,46,8136758,42552398,Website Sendiri,871,Belum Terdaftar,2006,34415640,189000000,871
28828577,UD. Karim Asmaralaya,Perdagangan,18,84,7862540,4911505,Bukalapak,736,Terdaftar,2014,-2951035,306000000,736
28828578,UD. Jafar Gandewa,Pendidikan,27,36,9106010,43942442,Tokopedia,580,Belum Terdaftar,2008,34836432,189000000,580
28828579,UD. Elyas Wiraatmaja,Perdagangan,11,81,4557522,21622680,Bukalapak,593,Belum Terdaftar,2015,17065158,276000000,593
28828580,UD. Erlangga Wiyata,Kesehatan,95,41,1961437,11702080,Website Sendiri,26,Belum Terdaftar,2004,9740643,408000000,26
28828581,UD. Hasna Saputranegara,Kesehatan,51,47,606340,13250815,Shopee,143,Belum Terdaftar,2019,12644475,294000000,143
28828582,UD. Halim Surya,,76,99,5782560,19091583,Tokopedia,581,Belum Terdaftar,2000,13309023,525000000,581
28828583,UD. Farhan Mulyo,Pendidikan,86,60,7888385,42399115,Website Sendiri,321,Belum Terdaftar,2009,34510730,438000000,321
28828584,UD. Farhan Sukadarma,Perdagangan,99,61,1242635,43856444,Tokopedia,661,Belum Terdaftar,2016,42613809,480000000,661
28828585,UD. Qisha Saprahan,Perdagangan,57,54,8835217,49273062,Bukalapak,542,Belum Terdaftar,2022,40437845,333000000,542
28828586,UD. Tasya Tunggul,Kesehatan,93,,8613350,38233714,Website Sendiri,852,Terdaftar,2024,29620364,387000000,852
28828587,UD. Yudi Kamajaya,Pendidikan,21,14,6784828,14384473,Website Sendiri,203,Terdaftar,2018,7599645,105000000,203
28828588,UD. Putri Wiraatmaja Rafif,Perdagangan,44,58,4791730,unknown,Website Sendiri,904,Terdaftar,2016,27949766,306000000,904
28828589,UD. Olivia Kusumasari,Pendidikan,61,62,7010703,33753747,Shopee,669,Terdaftar,2020,26743044,369000000,669
28828590,UD. Dea Tunggul Ziva,Perdagangan,41,65,3938582,46254838,Website Sendiri,841,Terdaftar,2014,42316256,318000000,841
28828591,UD. Iqra Panji,Pendidikan,66,41,4765067,35105093,Tokopedia,633,Belum Terdaftar,2002,30340026,321000000,633
28828592,UD. Tono Surapati,Kesehatan,8,30,5623602,35927094,Website Sendiri,285,Terdaftar,2009,30303492,114000000,285
28828593,UD. Qisha Kusumah,Perdagangan,63,5,5902996,42314822,Shopee,104,Terdaftar,2013,36411826,204000000,104
28828594,UD. Tari Jayeng,Pendidikan,14,18,6031918,20499344,Shopee,173,Terdaftar,2016,14467426,96000000,173
28828595,UD. Uli Widhi,unknown,29,37,3991688,5435097,Bukalapak,327,Belum Terdaftar,2016,1443409,198000000,327
28828596,UD. Clarissa Cahaya,Kesehatan,25,78,1501660,15602357,Tokopedia,545,Terdaftar,2005,14100697,309000000,545
28828597,UD. Nisa Hastinapura,Pendidikan,93,32,3956511,23171998,Lazada,991,Belum Terdaftar,2012,19215487,375000000,991
28828598,UD. Chiko Suryaatmaja,Perdagangan,68,89,2523098,3962038,Tokopedia,914,Terdaftar,2006,1438940,471000000,914
28828599,UD. Damar Panji,Kesehatan,94,52,3862258,2895777,Lazada,195,Belum Terdaftar,2008,-966481,438000000,195
28828600,UD. Qayla Sukarela,Kesehatan,21,29,,36832017,Tokopedia,58,Terdaftar,2015,30437016,150000000,58
28828601,UD. Kinan Buana,Perdagangan,53,74,8687490,22517544,Website Sendiri,218,Belum Terdaftar,2004,13830054,381000000,218
28828602,UD. Niken Lintang,,57,64,2003545,21451451,Lazada,235,Belum Terdaftar,2016,19447906,363000000,235
28828603,UD. Lidya Pamungkas,Jasa,78,13,8284243,24895018,Tokopedia,190,Belum Terdaftar,2000,16610775,273000000,190
28828604,UD. Farid Agastya,Pendidikan,52,9,1435120,3900557,Bukalapak,788,Belum Terdaftar,2008,2465437,183000000,788
28828605,UD. Yumna Sentosa,Perdagangan,98,16,3298391,6939332,Shopee,399,Belum Terdaftar,2024,3640941,342000000,399
28828606,UD. Yusuf Suryaputra,Fashion,18,74,6119793,19493654,Tokopedia,964,Belum Terdaftar,2017,13373861,276000000,964
28828607,UD. Krisna Trisula,Fashion,33,14,8313438,20043328,Tokopedia,956,Terdaftar,2017,11729890,141000000,956
28828608,UD. Heri Wiyata,Makanan & Minuman,81,75,3281572,8348563,Shopee,186,Terdaftar,2012,5066991,468000000,186
28828609,UD. Anang Baswara,Makanan & Minuman,13,2,5316536,47636417,Lazada,608,Terdaftar,2008,42319881,45000000,608
28828610,UD. Gilang Galang,Makanan & Minuman,21,21,5753490,41790652,Lazada,505,Terdaftar,2020,36037162,126000000,505
28828611,UD. Sekar Trijaya,Fashion,87,55,1564818,3613229,Website Sendiri,122,Terdaftar,2006,2048411,426000000,122
28828612,UD. Diyan Prawira,Perdagangan,12,58,1537363,29509796,Website Sendiri,768,Terdaftar,2004,27972433,210000000,768
28828613,UD. Fajar Darussalam Lukita,Jasa,63,25,4279679,14336128,Website Sendiri,130,Belum Terdaftar,2023,10056449,264000000,130
28828614,UD. Yumna Wira,Perdagangan,55,49,9483812,15051081,Bukalapak,952,,2007,5567269,312000000,952
28828615,UD. Sani Segar,Makanan & Minuman,71,86,4595843,48877366,Shopee,822,Terdaftar,2022,44281523,471000000,822
28828616,UD. Nazar Baruna,Perdagangan,41,79,8471642,19591921,Lazada,58,Belum Terdaftar,2000,11120279,360000000,58
28828617,UD. Nazar Dwijaputra Dito,Fashion,65,60,6367533,16430952,,177,Terdaftar,2000,10063419,375000000,177
28828618,UD. Lutfi Reswara,Makanan & Minuman,62,54,2253804,21170169,Website Sendiri,227,Terdaftar,2023,18916365,348000000,227
28828619,UD. Ujang Wibawa,Perdagangan,41,63,8197878,11057708,Shopee,786,Belum Terdaftar,2022,2859830,312000000,786
28828620,UD. Jafar Sanjaya,Jasa,90,2,4532792,15019139,Website Sendiri,785,Terdaftar,2020,10486347,276000000,785
28828621,UD. Xenia Nirbayu,Makanan & Minuman,33,29,5234170,21124439,Tokopedia,442,Terdaftar,2012,15890269,186000000,442
28828622,UD. Jihan Gatra,Jasa,28,57,2198887,3043503,Website Sendiri,189,Belum Terdaftar,2017,844616,255000000,189
28828623,UD. Dewi Mandiri,Pendidikan,25,12,5082393,44835866,Shopee,503,Belum Terdaftar,2001,39753473,111000000,503
28828624,UD. Fikri Jaladara,Kesehatan,22,71,8521201,31411063,Lazada,803,Belum Terdaftar,2008,22889862,279000000,803
28828625,UD. Lukman Wangi,Perdagangan,35,23,2349733,19402681,Shopee,765,Terdaftar,2022,17052948,174000000,765
28828626,UD. Jasmin Prajurit,Perdagangan,8,68,9078456,46549795,Lazada,405,Terdaftar,2005,37471339,228000000,405
28828627,UD. Ony Mayang,Kesehatan,84,6,5652991,33930538,Shopee,618,Terdaftar,2020,28277547,270000000,618
28828628,UD. Gema Prana,Jasa,41,50,9929308,2320739,Shopee,502,Terdaftar,2024,-7608569,273000000,502
28828629,UD. Celsi Cahyaningrat,Kesehatan,99,53,3607300,5946689,Lazada,329,Terdaftar,2018,2339389,456000000,329
,UD. Ucup Tirtayasa,Makanan & Minuman,66,50,9754163,40253559,Tokopedia,720,Terdaftar,2023,30499396,348000000,720
28828631,UD. Hilmiyah Tunggul,Jasa,6,26,3383876,4000272,Shopee,384,Belum Terdaftar,2021,616396,96000000,384
28828632,UD. Cipta Nawasena Qira,Perdagangan,22,11,3625751,8055755,Shopee,857,Terdaftar,2014,4430004,99000000,857
28828633,UD. Ony Nawasena,Pendidikan,31,40,9283358,28633735,Bukalapak,675,Belum Terdaftar,2008,19350377,213000000,675
28828634,UD. Livia Wijaya,Jasa,22,88,624431,22106121,Website Sendiri,98,Terdaftar,2013,21481690,330000000,98
28828635,UD. Carissa Rejo,Pendidikan,15,32,1713807,49053971,Bukalapak,385,Terdaftar,2008,47340164,141000000,385
28828636,UD. Qisya Berkarya Pandu,Perdagangan,68,78,2876700,21587581,Shopee,556,Belum Terdaftar,2020,18710881,438000000,556
28828637,UD. Ujang Kusumah Erlangga,Jasa,12,30,5601571,14916664,Shopee,628,Belum Terdaftar,2022,9315093,126000000,628
28828638,UD. Nina Sanjaya,Pendidikan,9,10,1317922,10659378,Shopee,358,Terdaftar,2021,9341456,57000000,358
28828639,UD. Jihan Prima,Jasa,58,35,8823691,36100504,Tokopedia,443,Belum Terdaftar,2001,27276813,279000000,443
28828640,UD. Mira Kelana,Kesehatan,1,5,8472112,31463643,Bukalapak,243,Belum Terdaftar,2007,22991531,18000000,243
28828641,UD. Jaya Ayodya,Jasa,79,44,9556446,27716675,Website Sendiri,869,Terdaftar,2014,18160229,unknown,869
28828642,UD. Niken Arya,Perdagangan,51,59,5654448,20659180,Tokopedia,153,Belum Terdaftar,2023,15004732,330000000,153
28828643,UD. Sekar Siang,Kesehatan,0,89,4576055,13784473,Lazada,604,Terdaftar,2011,9208418,267000000,604
28828644,UD. Hanafi Bagaskara,Perdagangan,69,71,1275561,21044172,Shopee,689,Terdaftar,2008,19768611,420000000,689
